Id,name,value,colour
0,NUTE GUNRAY,20,#808080
1,QUI-GON,84,#4f4fb1
2,TC-14,5,#808080
3,PK-4,2,#808080
4,OBI-WAN,55,#48D1CC
5,YODA,9,#9ACD32
6,DOFINE,3,#808080
7,RUNE,17,#808080
8,TEY HOW,4,#808080
9,VALORUM,6,#808080
10,RABE,15,#808080
11,EMPEROR,19,#191970
12,CAPTAIN PANAKA,34,#808080
13,SIO BIBBLE,11,#808080
14,JAR JAR,60,#9a9a00
15,TARPALS,3,#808080
16,BOSS NASS,6,#808080
17,PADME,52,#DDA0DD
18,RIC OLIE,14,#808080
19,R2-D2,39,#bde0f6
20,ANAKIN,62,#ce3b59
21,WATTO,16,#808080
22,SEBULBA,11,#808080
23,JIRA,3,#808080
24,C-3PO,6,#FFD700
25,SHMI,16,#808080
26,DARTH MAUL,18,#808080
27,KITSTER,11,#808080
28,WALD,3,#808080
29,GREEDO,3,#808080
30,FODE/BEED,11,#808080
31,JABBA,5,#808080
32,MACE WINDU,5,#808080
33,KI-ADI-MUNDI,4,#808080
34,BAIL ORGANA,3,#808080
35,GENERAL CEEL,5,#808080
36,BRAVO TWO,5,#808080
37,BRAVO THREE,3,#808080
